Selected parameters:
 1 BZ, nT (GSM)
 2 Speed, km/s
 3 Proton Density, n/cc
 4 Flow pressure, nPa
 5 SYM/D, nT

YYYY DOY HR MN      1       2      3     4     5 
2017 110  5 34   -7.12 99999.9 999.99 99.99     1
2017 110  5 35   -7.97   527.7  17.93  9.99     1
2017 110  5 36   -7.58   527.7  17.93  9.99     0
2017 110  5 37   -8.18   529.5  17.59  9.86     0
2017 110  5 38   -8.30   531.5  16.91  9.55     0
2017 110  5 39   -7.18   536.1  18.24 10.48    -1
2017 110  5 40   -6.73   531.2  18.15 10.24     0
2017 110  5 41   -6.86   531.2  18.15 10.24     0
2017 110  5 42   -7.83   527.1  15.73  8.74    -1
2017 110  5 43   -7.24   527.1  15.73  8.74    -1
2017 110  5 44   -6.97   531.9  17.56  9.94    -2
2017 110  5 45   -7.48   531.9  17.56  9.94    -2
2017 110  5 46   -7.76   530.1  17.41  9.78    -2
2017 110  5 47   -7.57   529.2  16.72  9.36    -2
2017 110  5 48   -7.38   538.0  18.64 10.79    -2
2017 110  5 49   -7.44   534.5  18.02 10.30    -1
2017 110  5 50   -6.89   531.7  18.28 10.34    -1
2017 110  5 51   -7.55   533.2  18.42 10.47    -1
2017 110  5 52   -7.24   526.3  16.95  9.39     0
2017 110  5 53   -7.58 99999.9 999.99 99.99     0
2017 110  5 54 9999.99 99999.9 999.99 99.99     0
2017 110  5 55 9999.99 99999.9 999.99 99.99     1
2017 110  5 56 9999.99 99999.9 999.99 99.99     2
2017 110  5 57 9999.99 99999.9 999.99 99.99     2
2017 110  5 58 9999.99 99999.9 999.99 99.99     3
2017 110  5 59   -7.91 99999.9 999.99 99.99     3
2017 110  6  0   -7.91 99999.9 999.99 99.99     3
2017 110  6  1 9999.99 99999.9 999.99 99.99     4
2017 110  6  2 9999.99 99999.9 999.99 99.99     4
2017 110  6  3 9999.99 99999.9 999.99 99.99     4
2017 110  6  4 9999.99 99999.9 999.99 99.99     4
2017 110  6  5 9999.99 99999.9 999.99 99.99     4
2017 110  6  6 9999.99 99999.9 999.99 99.99     4
2017 110  6  7 9999.99 99999.9 999.99 99.99     4
